,Unnamed: 0,file,Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context,area,area_coor
67821,67821,metropolitan-street.csv,9025380e3c381227dea8b2d82ad66f8d4c885d84e96500628a4318d814068fa2,2016-09,Metropolitan Police Service,Metropolitan Police Service,-0.187843,51.437652,On or near Weybourne Street,E01004498,Wandsworth 031D,Bicycle theft,Status update unavailable,,Wandsworth,"51.45324311145323,-0.17973422321428625"
67822,67822,metropolitan-street.csv,9025380e3c381227dea8b2d82ad66f8d4c885d84e96500628a4318d814068fa2,2016-09,Metropolitan Police Service,Metropolitan Police Service,-0.187843,51.437652,On or near Weybourne Street,E01004498,Wandsworth 031D,Bicycle theft,Status update unavailable,,Wandsworth,"51.45324311145323,-0.17973422321428625"
56064,56064,metropolitan-street.csv,90c9865c8ba59076137105e494838651b1a9cdef8aa824b12ff584ccb29b5740,2016-08,Metropolitan Police Service,Metropolitan Police Service,-0.382668,51.442615,On or near Braid Close,E01002607,Hounslow 026D,Bicycle theft,Status update unavailable,,Hounslow,"51.47331501733365,-0.3368637311111116"
56067,56067,metropolitan-street.csv,90c9865c8ba59076137105e494838651b1a9cdef8aa824b12ff584ccb29b5740,2016-08,Metropolitan Police Service,Metropolitan Police Service,-0.382668,51.442615,On or near Braid Close,E01002607,Hounslow 026D,Bicycle theft,Investigation complete; no suspect identified,,Hounslow,"51.47331501733365,-0.3368637311111116"
3924,3924,metropolitan-street.csv,90f443cb191161b64f1603db3ea8f720ab941da3f0e3053688e91503fec15afa,2015-12,Metropolitan Police Service,Metropolitan Police Service,-0.206488,51.501938,On or near Abbotsbury Road,E01002868,Kensington and Chelsea 009D,Bicycle theft,Status update unavailable,,Kensington and Chelsea,"51.50245878403228,-0.1925145956346927"
3923,3923,metropolitan-street.csv,90f443cb191161b64f1603db3ea8f720ab941da3f0e3053688e91503fec15afa,2015-12,Metropolitan Police Service,Metropolitan Police Service,-0.206488,51.501938,On or near Abbotsbury Road,E01002868,Kensington and Chelsea 009D,Bicycle theft,Status update unavailable,,Kensington and Chelsea,"51.50245878403228,-0.1925145956346927"
163358,163358,metropolitan-street.csv,90f4f7342aa71a55a3b56eaf641cff004d115971f863c19bcd06ee9a6b42847a,2017-08,Metropolitan Police Service,Metropolitan Police Service,0.05759400000000001,51.608743,On or near Thurlby Close,E01003656,Redbridge 005A,Bicycle theft,Status update unavailable,,Redbridge,"51.57395502255642,0.07317325864661645"
163359,163359,metropolitan-street.csv,90f4f7342aa71a55a3b56eaf641cff004d115971f863c19bcd06ee9a6b42847a,2017-08,Metropolitan Police Service,Metropolitan Police Service,0.05759400000000001,51.608743,On or near Thurlby Close,E01003656,Redbridge 005A,Bicycle theft,Status update unavailable,,Redbridge,"51.57395502255642,0.07317325864661645"
141701,141701,metropolitan-street.csv,91044ab499f1a24bff132c36db019bf9f4c7003fb07ded8fe6d2715b5d10b778,2017-06,Metropolitan Police Service,Metropolitan Police Service,-0.161747,51.403847,On or near Commonside West,E01003389,Merton 013C,Bicycle theft,Investigation complete; no suspect identified,,Merton,"51.41357601054195,-0.19507241867469877"
141699,141699,metropolitan-street.csv,91044ab499f1a24bff132c36db019bf9f4c7003fb07ded8fe6d2715b5d10b778,2017-06,Metropolitan Police Service,Metropolitan Police Service,-0.161747,51.403847,On or near Commonside West,E01003389,Merton 013C,Bicycle theft,Status update unavailable,,Merton,"51.41357601054195,-0.19507241867469877"
149429,149429,metropolitan-street.csv,92576025e64d6afa42d808c8d35c4140a391576256082538841a605235215338,2017-07,Metropolitan Police Service,Metropolitan Police Service,-0.070025,51.529574,On or near Ezra Street,E01004314,Tower Hamlets 006B,Bicycle theft,Status update unavailable,,Tower Hamlets,"51.52005341055978,-0.048325809740555226"
149431,149431,metropolitan-street.csv,92576025e64d6afa42d808c8d35c4140a391576256082538841a605235215338,2017-07,Metropolitan Police Service,Metropolitan Police Service,-0.070025,51.529574,On or near Ezra Street,E01004314,Tower Hamlets 006B,Bicycle theft,Court result unavailable,,Tower Hamlets,"51.52005341055978,-0.048325809740555226"
250208,250208,metropolitan-street.csv,94a95fa5a3166295279f9d0fc6275951bb33de84fdb84744bd7e5c8b7f0a86be,2018-07,Metropolitan Police Service,Metropolitan Police Service,-0.122665,51.479377,On or near Meadow Place,E01003129,Lambeth 004E,Bicycle theft,Under investigation,,Lambeth,"51.470478835588494,-0.11935485676470627"
250207,250207,metropolitan-street.csv,94a95fa5a3166295279f9d0fc6275951bb33de84fdb84744bd7e5c8b7f0a86be,2018-07,Metropolitan Police Service,Metropolitan Police Service,-0.122665,51.479377,On or near Meadow Place,E01003129,Lambeth 004E,Bicycle theft,Under investigation,,Lambeth,"51.470478835588494,-0.11935485676470627"
203613,203613,metropolitan-street.csv,95985633aa98043f934158ac6144c1ebb42ea0a7ecdf262cdf3f3dd1a3a72e1b,2018-01,Metropolitan Police Service,Metropolitan Police Service,-0.372452,51.43448,On or near Uxbridge Road,E01003903,Richmond upon Thames 015F,Bicycle theft,Status update unavailable,,Richmond upon Thames,"51.44905630677717,-0.3151747927180963"
